Order ID,Order Date,Ship Mode,Customer ID,Customer Name,Segment,State,Category,Sub-Category,Sales,Quantity,Discount,Profit,Region,Manufacturer,City
CA-2020-00030,2020-01-22 21:51:46.553276638,Standard Class,CUST-0030,Customer 30,Corporate,New York,Furniture,Tables,131.76,1,0.3,-11.51,East,Microsoft,Buffalo
CA-2020-00031,2020-01-23 15:23:30.105052526,Standard Class,CUST-0031,Customer 31,Home Office,Florida,Furniture,Bookcases,206.85,9,0.02,-88.88,South,Dell,Orlando
CA-2020-00032,2020-01-24 08:55:13.656828414,Same Day,CUST-0032,Customer 32,Consumer,New York,Furniture,Tables,102.58,3,0.24,19.86,East,HP,Buffalo
CA-2020-00033,2020-01-25 02:26:57.208604302,Same Day,CUST-0033,Customer 33,Corporate,New York,Furniture,Bookcases,130.02,9,0.44,-84.94,East,Samsung,Rochester
CA-2020-00034,2020-01-25 19:58:40.760380190,Second Class,CUST-0034,Customer 34,Home Office,California,Furniture,Furnishings,343.92,5,0.06,186.5,West,HP,San Diego
CA-2020-00035,2020-01-26 13:30:24.312156078,Second Class,CUST-0035,Customer 35,Corporate,New York,Technology,Copiers,307.55,4,0.34,55.28,East,Apple,New York City
CA-2020-00036,2020-01-27 07:02:07.863931966,Same Day,CUST-0036,Customer 36,Corporate,Florida,Furniture,Furnishings,59.81,4,0.07,178.53,South,Dell,Miami
CA-2020-00037,2020-01-28 00:33:51.415707854,Second Class,CUST-0037,Customer 37,Corporate,New York,Technology,Accessories,470.67,2,0.02,180.62,East,Apple,Buffalo
CA-2020-00038,2020-01-28 18:05:34.967483742,Second Class,CUST-0038,Customer 38,Consumer,Florida,Office Supplies,Binders,412.62,3,0.46,67.38,South,Microsoft,Orlando
CA-2020-00039,2020-01-29 11:37:18.519259630,First Class,CUST-0039,Customer 39,Consumer,Texas,Office Supplies,Storage,48.95,2,0.5,157.53,Central,HP,Dallas
CA-2020-00040,2020-01-30 05:09:02.071035518,Same Day,CUST-0040,Customer 40,Home Office,Texas,Furniture,Chairs,225.59,6,0.03,23.72,Central,HP,Houston
CA-2020-00041,2020-01-30 22:40:45.622811406,First Class,CUST-0041,Customer 41,Consumer,New York,Office Supplies,Binders,320.35,5,0.46,37.62,East,Apple,Buffalo
CA-2020-00042,2020-01-31 16:12:29.174587293,First Class,CUST-0042,Customer 42,Consumer,Florida,Technology,Phones,165.38,7,0.45,120.96,South,Dell,Orlando
CA-2020-00043,2020-02-01 09:44:12.726363181,First Class,CUST-0043,Customer 43,Corporate,New York,Furniture,Tables,451.07,6,0.02,105.85,East,Lenovo,Rochester
CA-2020-00044,2020-02-02 03:15:56.278139069,Standard Class,CUST-0044,Customer 44,Corporate,Texas,Furniture,Bookcases,379.08,4,0.29,3.97,Central,Lenovo,Houston
CA-2020-00045,2020-02-02 20:47:39.829914957,Second Class,CUST-0045,Customer 45,Consumer,Florida,Technology,Machines,466.68,9,0.27,180.65,South,Lenovo,Orlando
CA-2020-00046,2020-02-03 14:19:23.381690845,Same Day,CUST-0046,Customer 46,Consumer,Texas,Technology,Copiers,442.26,5,0.31,-53.82,Central,HP,Houston
CA-2020-00047,2020-02-04 07:51:06.933466733,First Class,CUST-0047,Customer 47,Corporate,Texas,Technology,Phones,44.77,9,0.16,-22.96,Central,Dell,Houston
CA-2020-00048,2020-02-05 01:22:50.485242621,Second Class,CUST-0048,Customer 48,Consumer,Texas,Office Supplies,Paper,302.87,3,0.16,165.03,Central,HP,Dallas
CA-2020-00049,2020-02-05 18:54:34.037018509,Standard Class,CUST-0049,Customer 49,Consumer,Florida,Technology,Accessories,127.56,3,0.02,-40.15,South,Apple,Tampa
CA-2020-00050,2020-02-06 12:26:17.588794397,Same Day,CUST-0050,Customer 50,Consumer,Texas,Furniture,Furnishings,243.3,3,0.14,149.65,Central,Microsoft,Houston
CA-2020-00051,2020-02-07 05:58:01.140570285,Same Day,CUST-0051,Customer 51,Corporate,New York,Furniture,Bookcases,408.71,5,0.2,-27.15,East,Samsung,Buffalo
CA-2020-00052,2020-02-07 23:29:44.692346173,First Class,CUST-0052,Customer 52,Consumer,California,Technology,Accessories,372.68,1,0.01,-32.03,West,Lenovo,Los Angeles
CA-2020-00053,2020-02-08 17:01:28.244122061,Same Day,CUST-0053,Customer 53,Corporate,California,Technology,Phones,446.42,3,0.09,-87.33,West,Samsung,Los Angeles
CA-2020-00054,2020-02-09 10:33:11.795897949,Second Class,CUST-0054,Customer 54,Consumer,Florida,Technology,Accessories,100.35,3,0.3,-41.09,South,Microsoft,Miami
CA-2020-00055,2020-02-10 04:04:55.347673837,Second Class,CUST-0055,Customer 55,Corporate,Texas,Office Supplies,Storage,200.73,5,0.05,95.59,Central,Dell,Houston
CA-2020-00056,2020-02-10 21:36:38.899449725,Same Day,CUST-0056,Customer 56,Consumer,Florida,Furniture,Furnishings,248.38,1,0.11,164.67,South,Samsung,Miami
CA-2020-00057,2020-02-11 15:08:22.451225613,First Class,CUST-0057,Customer 57,Home Office,Texas,Furniture,Furnishings,459.58,2,0.31,167.35,Central,HP,Houston
CA-2020-00058,2020-02-12 08:40:06.003001501,Same Day,CUST-0058,Customer 58,Home Office,California,Technology,Copiers,281.81,2,0.18,-39.33,West,Apple,San Diego
CA-2020-00059,2020-02-13 02:11:49.554777389,Standard Class,CUST-0059,Customer 59,Consumer,Illinois,Technology,Phones,181.42,9,0.18,29.81,Central,Samsung,Springfield
CA-2020-00060,2020-02-13 19:43:33.106553276,Standard Class,CUST-0060,Customer 60,Home Office,Florida,Furniture,Bookcases,266.77,3,0.47,-30.93,South,Dell,Tampa
CA-2020-00061,2020-02-14 13:15:16.658329164,Same Day,CUST-0061,Customer 61,Home Office,Texas,Furniture,Chairs,405.43,8,0.12,69.42,Central,Apple,Dallas
CA-2020-00062,2020-02-15 06:47:00.210105052,Same Day,CUST-0062,Customer 62,Corporate,Texas,Furniture,Chairs,62.34,2,0.08,-61.39,Central,HP,Dallas
CA-2020-00063,2020-02-16 00:18:43.761880940,Standard Class,CUST-0063,Customer 63,Consumer,California,Technology,Phones,331.34,4,0.05,-6.49,West,Microsoft,San Francisco
CA-2020-00064,2020-02-16 17:50:27.313656828,First Class,CUST-0064,Customer 64,Home Office,Florida,Furniture,Chairs,180.52,3,0.45,190.54,South,Microsoft,Orlando
CA-2020-00065,2020-02-17 11:22:10.865432716,Standard Class,CUST-0065,Customer 65,Home Office,Illinois,Office Supplies,Storage,480.39,6,0.24,-28.27,Central,Dell,Springfield
CA-2020-00066,2020-02-18 04:53:54.417208604,Same Day,CUST-0066,Customer 66,Corporate,New York,Furniture,Furnishings,283.22,3,0.16,-63.94,East,Lenovo,Buffalo
CA-2020-00067,2020-02-18 22:25:37.968984492,First Class,CUST-0067,Customer 67,Consumer,New York,Technology,Accessories,11.72,5,0.37,-31.56,East,Dell,New York City
CA-2020-00068,2020-02-19 15:57:21.520760380,Same Day,CUST-0068,Customer 68,Consumer,Illinois,Office Supplies,Binders,423.23,6,0.2,100.55,Central,Samsung,Naperville
CA-2020-00069,2020-02-20 09:29:05.072536268,Second Class,CUST-0069,Customer 69,Corporate,California,Office Supplies,Labels,309.7,1,0.25,-58.84,West,Microsoft,San Diego
CA-2020-00070,2020-02-21 03:00:48.624312156,First Class,CUST-0070,Customer 70,Home Office,New York,Technology,Phones,144.32,3,0.29,63.82,East,Apple,New York City
CA-2020-00071,2020-02-21 20:32:32.176088044,Second Class,CUST-0071,Customer 71,Home Office,Florida,Technology,Copiers,461.79,5,0.24,-72.38,South,HP,Orlando
CA-2020-00072,2020-02-22 14:04:15.727863932,Standard Class,CUST-0072,Customer 72,Corporate,Illinois,Furniture,Tables,144.71,5,0.16,21.64,Central,Samsung,Naperville
CA-2020-00073,2020-02-23 07:35:59.279639820,Standard Class,CUST-0073,Customer 73,Home Office,Florida,Office Supplies,Paper,293.71,4,0.21,-65.64,South,Microsoft,Tampa
CA-2020-00074,2020-02-24 01:07:42.831415708,Second Class,CUST-0074,Customer 74,Consumer,New York,Technology,Phones,169.16,8,0.1,98.23,East,Microsoft,Rochester
CA-2020-00075,2020-02-24 18:39:26.383191596,Second Class,CUST-0075,Customer 75,Home Office,California,Technology,Phones,373.75,5,0.41,-5.39,West,Apple,San Francisco
CA-2020-00076,2020-02-25 12:11:09.934967484,Second Class,CUST-0076,Customer 76,Corporate,Florida,Furniture,Chairs,319.97,9,0.29,-70.91,South,HP,Orlando
CA-2020-00077,2020-02-26 05:42:53.486743372,Standard Class,CUST-0077,Customer 77,Corporate,Texas,Technology,Machines,438.1,7,0.02,83.54,Central,Microsoft,Dallas
CA-2020-00078,2020-02-26 23:14:37.038519260,First Class,CUST-0078,Customer 78,Consumer,Florida,Furniture,Furnishings,486.53,2,0.03,101.93,South,Apple,Tampa
CA-2020-00079,2020-02-27 16:46:20.590295148,Second Class,CUST-0079,Customer 79,Home Office,New York,Technology,Phones,384.65,2,0.5,92.49,East,Microsoft,Rochester
CA-2020-00080,2020-02-28 10:18:04.142071036,Same Day,CUST-0080,Customer 80,Consumer,Florida,Technology,Machines,409.76,6,0.28,66.78,South,Samsung,Miami
CA-2020-00081,2020-02-29 03:49:47.693846924,Second Class,CUST-0081,Customer 81,Home Office,Florida,Technology,Copiers,361.99,5,0.0,163.88,South,Samsung,Tampa
CA-2020-00082,2020-02-29 21:21:31.245622812,Standard Class,CUST-0082,Customer 82,Home Office,Texas,Furniture,Tables,422.17,7,0.46,79.97,Central,Samsung,Austin
CA-2020-00083,2020-03-01 14:53:14.797398699,Standard Class,CUST-0083,Customer 83,Consumer,California,Office Supplies,Storage,169.63,4,0.28,-47.71,West,Samsung,Los Angeles
CA-2020-00084,2020-03-02 08:24:58.349174587,Standard Class,CUST-0084,Customer 84,Home Office,California,Office Supplies,Binders,79.88,6,0.1,-36.31,West,HP,San Francisco
CA-2020-00085,2020-03-03 01:56:41.900950475,Second Class,CUST-0085,Customer 85,Corporate,Texas,Technology,Accessories,94.02,7,0.39,-46.78,Central,Dell,Dallas
CA-2020-00086,2020-03-03 19:28:25.452726363,Same Day,CUST-0086,Customer 86,Home Office,Florida,Furniture,Furnishings,315.82,9,0.24,169.8,South,Lenovo,Tampa
CA-2020-00087,2020-03-04 13:00:09.004502251,First Class,CUST-0087,Customer 87,Corporate,Florida,Furniture,Chairs,260.41,7,0.14,127.0,South,HP,Miami
CA-2020-00088,2020-03-05 06:31:52.556278139,First Class,CUST-0088,Customer 88,Home Office,Illinois,Office Supplies,Storage,433.61,7,0.05,101.16,Central,Lenovo,Chicago
CA-2020-00089,2020-03-06 00:03:36.108054027,First Class,CUST-0089,Customer 89,Home Office,New York,Office Supplies,Binders,499.29,4,0.17,-76.87,East,Dell,New York City
CA-2020-00090,2020-03-06 17:35:19.659829915,Standard Class,CUST-0090,Customer 90,Home Office,Illinois,Furniture,Bookcases,78.92,3,0.2,13.66,Central,HP,Naperville
CA-2020-00091,2020-03-07 11:07:03.211605803,Standard Class,CUST-0091,Customer 91,Corporate,Florida,Office Supplies,Paper,465.65,4,0.38,121.95,South,HP,Orlando
CA-2020-00092,2020-03-08 04:38:46.763381691,Standard Class,CUST-0092,Customer 92,Corporate,Illinois,Furniture,Chairs,438.49,8,0.1,119.71,Central,Apple,Springfield
CA-2020-00093,2020-03-08 22:10:30.315157579,Second Class,CUST-0093,Customer 93,Consumer,Texas,Technology,Phones,177.67,9,0.08,173.75,Central,Dell,Houston
CA-2020-00094,2020-03-09 15:42:13.866933467,First Class,CUST-0094,Customer 94,Consumer,New York,Office Supplies,Labels,373.99,2,0.28,-63.84,East,Dell,Rochester
CA-2020-00095,2020-03-10 09:13:57.418709355,Same Day,CUST-0095,Customer 95,Home Office,California,Furniture,Tables,259.88,9,0.43,75.8,West,HP,San Francisco
CA-2020-00096,2020-03-11 02:45:40.970485243,Same Day,CUST-0096,Customer 96,Corporate,Illinois,Office Supplies,Binders,144.89,2,0.35,188.33,Central,Apple,Naperville
CA-2020-00097,2020-03-11 20:17:24.522261131,Standard Class,CUST-0097,Customer 97,Home Office,California,Technology,Machines,195.88,2,0.46,83.19,West,Samsung,San Francisco
CA-2020-00098,2020-03-12 13:49:08.074037019,Standard Class,CUST-0098,Customer 98,Consumer,Texas,Office Supplies,Binders,159.37,5,0.17,90.26,Central,HP,Dallas
CA-2020-00099,2020-03-13 07:20:51.625812907,Same Day,CUST-0099,Customer 99,Consumer,Florida,Technology,Phones,489.01,2,0.4,88.49,South,Lenovo,Orlando
CA-2020-00100,2020-03-14 00:52:35.177588795,Standard Class,CUST-0100,Customer 100,Home Office,Texas,Technology,Accessories,49.85,5,0.33,194.19,Central,Dell,Houston
CA-2020-00101,2020-03-14 18:24:18.729364682,Standard Class,CUST-0101,Customer 101,Consumer,Illinois,Furniture,Tables,43.48,7,0.49,52.0,Central,Lenovo,Chicago
CA-2020-00102,2020-03-15 11:56:02.281140570,Same Day,CUST-0102,Customer 102,Corporate,New York,Technology,Phones,354.98,4,0.24,-79.91,East,Lenovo,Buffalo
CA-2020-00103,2020-03-16 05:27:45.832916458,Standard Class,CUST-0103,Customer 103,Consumer,Florida,Furniture,Chairs,256.65,1,0.14,-72.28,South,Microsoft,Miami
CA-2020-00104,2020-03-16 22:59:29.384692346,Standard Class,CUST-0104,Customer 104,Consumer,California,Office Supplies,Storage,102.72,6,0.11,-14.49,West,Microsoft,San Diego
CA-2020-00105,2020-03-17 16:31:12.936468234,First Class,CUST-0105,Customer 105,Corporate,California,Technology,Copiers,364.48,5,0.32,138.44,West,Samsung,San Francisco
CA-2020-00106,2020-03-18 10:02:56.488244122,First Class,CUST-0106,Customer 106,Consumer,Illinois,Technology,Machines,326.05,9,0.08,-66.63,Central,Microsoft,Naperville
CA-2020-00107,2020-03-19 03:34:40.040020010,First Class,CUST-0107,Customer 107,Consumer,California,Office Supplies,Labels,32.62,4,0.37,-87.94,West,HP,San Diego
CA-2020-00108,2020-03-19 21:06:23.591795898,Second Class,CUST-0108,Customer 108,Corporate,Florida,Technology,Phones,28.58,1,0.02,-75.45,South,Lenovo,Orlando
CA-2020-00109,2020-03-20 14:38:07.143571786,Standard Class,CUST-0109,Customer 109,Corporate,Illinois,Furniture,Furnishings,17.13,6,0.07,-70.3,Central,Apple,Chicago
CA-2020-00110,2020-03-21 08:09:50.695347674,Standard Class,CUST-0110,Customer 110,Home Office,Florida,Furniture,Bookcases,36.32,8,0.44,-86.39,South,Microsoft,Orlando
CA-2020-00111,2020-03-22 01:41:34.247123562,Second Class,CUST-0111,Customer 111,Home Office,Illinois,Technology,Copiers,191.46,9,0.31,50.57,Central,Apple,Chicago
CA-2020-00112,2020-03-22 19:13:17.798899450,Standard Class,CUST-0112,Customer 112,Home Office,Texas,Technology,Accessories,120.84,5,0.48,-23.08,Central,Samsung,Dallas
CA-2020-00113,2020-03-23 12:45:01.350675338,Second Class,CUST-0113,Customer 113,Consumer,Texas,Office Supplies,Storage,203.78,1,0.07,131.52,Central,Apple,Austin
CA-2020-00114,2020-03-24 06:16:44.902451226,Same Day,CUST-0114,Customer 114,Home Office,Illinois,Furniture,Chairs,45.93,1,0.37,99.92,Central,Lenovo,Springfield
CA-2020-00115,2020-03-24 23:48:28.454227114,Standard Class,CUST-0115,Customer 115,Consumer,New York,Furniture,Bookcases,246.32,4,0.28,63.16,East,Apple,Buffalo
CA-2020-00116,2020-03-25 17:20:12.006003002,First Class,CUST-0116,Customer 116,Consumer,Texas,Technology,Phones,492.32,7,0.5,177.83,Central,Samsung,Dallas
CA-2020-00117,2020-03-26 10:51:55.557778890,Standard Class,CUST-0117,Customer 117,Consumer,California,Technology,Machines,229.41,7,0.1,-19.91,West,Apple,San Diego
CA-2020-00118,2020-03-27 04:23:39.109554778,First Class,CUST-0118,Customer 118,Corporate,Texas,Office Supplies,Binders,332.57,5,0.38,-21.65,Central,Dell,Austin
CA-2020-00119,2020-03-27 21:55:22.661330665,First Class,CUST-0119,Customer 119,Home Office,Illinois,Furniture,Furnishings,303.56,3,0.08,148.32,Central,Lenovo,Chicago
CA-2020-00120,2020-03-28 15:27:06.213106553,Second Class,CUST-0120,Customer 120,Home Office,Florida,Furniture,Tables,402.82,3,0.14,150.03,South,Lenovo,Orlando
CA-2020-00121,2020-03-29 08:58:49.764882441,Standard Class,CUST-0121,Customer 121,Corporate,New York,Office Supplies,Binders,431.27,9,0.49,102.19,East,Lenovo,Buffalo
CA-2020-00122,2020-03-30 02:30:33.316658329,Standard Class,CUST-0122,Customer 122,Home Office,Texas,Technology,Machines,90.92,3,0.08,176.47,Central,Microsoft,Dallas
CA-2020-00123,2020-03-30 20:02:16.868434217,Same Day,CUST-0123,Customer 123,Corporate,Florida,Furniture,Bookcases,104.73,7,0.23,-73.0,South,Apple,Tampa
CA-2020-00124,2020-03-31 13:34:00.420210105,Second Class,CUST-0124,Customer 124,Corporate,Illinois,Office Supplies,Storage,155.56,7,0.23,17.98,Central,Dell,Springfield
CA-2020-00125,2020-04-01 07:05:43.971985993,Same Day,CUST-0125,Customer 125,Corporate,Illinois,Technology,Copiers,309.75,2,0.22,131.82,Central,Apple,Chicago
CA-2020-00126,2020-04-02 00:37:27.523761881,Same Day,CUST-0126,Customer 126,Corporate,New York,Office Supplies,Paper,343.09,5,0.25,-2.21,East,Samsung,Buffalo
CA-2020-00127,2020-04-02 18:09:11.075537769,First Class,CUST-0127,Customer 127,Home Office,Florida,Furniture,Tables,20.77,3,0.42,30.52,South,Lenovo,Miami
CA-2020-00128,2020-04-03 11:40:54.627313657,Standard Class,CUST-0128,Customer 128,Consumer,New York,Technology,Machines,318.79,6,0.46,162.62,East,Lenovo,Rochester
CA-2020-00129,2020-04-04 05:12:38.179089545,Same Day,CUST-0129,Customer 129,Consumer,Illinois,Office Supplies,Paper,394.48,5,0.35,83.97,Central,HP,Springfield
CA-2020-00130,2020-04-04 22:44:21.730865433,Second Class,CUST-0130,Customer 130,Corporate,Illinois,Furniture,Furnishings,136.48,4,0.0,-66.77,Central,Samsung,Naperville
CA-2020-00131,2020-04-05 16:16:05.282641321,Standard Class,CUST-0131,Customer 131,Corporate,Illinois,Furniture,Tables,332.79,7,0.35,178.5,Central,HP,Chicago
CA-2020-00132,2020-04-06 09:47:48.834417209,Standard Class,CUST-0132,Customer 132,Consumer,Illinois,Office Supplies,Labels,299.1,9,0.38,-30.32,Central,Lenovo,Naperville
CA-2020-00133,2020-04-07 03:19:32.386193097,Standard Class,CUST-0133,Customer 133,Home Office,California,Technology,Accessories,263.52,7,0.44,131.18,West,Samsung,San Diego
CA-2020-00134,2020-04-07 20:51:15.937968985,Second Class,CUST-0134,Customer 134,Home Office,Florida,Furniture,Tables,116.75,1,0.04,191.54,South,HP,Orlando
CA-2020-00135,2020-04-08 14:22:59.489744873,Second Class,CUST-0135,Customer 135,Consumer,Florida,Technology,Accessories,132.75,3,0.16,-98.69,South,Samsung,Tampa
CA-2020-00136,2020-04-09 07:54:43.041520761,First Class,CUST-0136,Customer 136,Consumer,Illinois,Furniture,Furnishings,225.64,9,0.3,25.71,Central,Samsung,Chicago
CA-2020-00137,2020-04-10 01:26:26.593296649,First Class,CUST-0137,Customer 137,Consumer,Illinois,Furniture,Furnishings,424.08,7,0.29,-41.65,Central,Microsoft,Chicago
CA-2020-00138,2020-04-10 18:58:10.145072536,First Class,CUST-0138,Customer 138,Consumer,New York,Technology,Phones,450.46,9,0.3,-47.05,East,Lenovo,Buffalo
CA-2020-00139,2020-04-11 12:29:53.696848424,First Class,CUST-0139,Customer 139,Corporate,Florida,Office Supplies,Storage,299.85,1,0.41,40.19,South,Lenovo,Tampa
CA-2020-00140,2020-04-12 06:01:37.248624312,Second Class,CUST-0140,Customer 140,Home Office,New York,Technology,Machines,231.38,5,0.32,50.9,East,HP,New York City
CA-2020-00141,2020-04-12 23:33:20.800400200,Same Day,CUST-0141,Customer 141,Home Office,Florida,Office Supplies,Paper,107.91,9,0.13,-29.28,South,HP,Miami
CA-2020-00142,2020-04-13 17:05:04.352176088,Second Class,CUST-0142,Customer 142,Home Office,California,Office Supplies,Labels,451.6,8,0.14,79.73,West,HP,Los Angeles
CA-2020-00143,2020-04-14 10:36:47.903951976,Standard Class,CUST-0143,Customer 143,Consumer,California,Furniture,Furnishings,74.95,5,0.1,15.96,West,Dell,San Diego
CA-2020-00144,2020-04-15 04:08:31.455727864,First Class,CUST-0144,Customer 144,Consumer,Texas,Furniture,Bookcases,264.72,5,0.39,-80.11,Central,Lenovo,Austin
CA-2020-00145,2020-04-15 21:40:15.007503752,Second Class,CUST-0145,Customer 145,Corporate,Illinois,Technology,Machines,334.48,5,0.31,-66.8,Central,HP,Chicago
CA-2020-00146,2020-04-16 15:11:58.559279640,First Class,CUST-0146,Customer 146,Home Office,California,Furniture,Chairs,167.38,9,0.16,129.48,West,Dell,San Diego
CA-2020-00147,2020-04-17 08:43:42.111055528,First Class,CUST-0147,Customer 147,Home Office,Texas,Furniture,Furnishings,113.88,1,0.16,159.19,Central,Samsung,Houston
CA-2020-00148,2020-04-18 02:15:25.662831416,Standard Class,CUST-0148,Customer 148,Home Office,California,Office Supplies,Paper,141.97,4,0.41,26.42,West,HP,Los Angeles
CA-2020-00149,2020-04-18 19:47:09.214607304,Second Class,CUST-0149,Customer 149,Home Office,Florida,Technology,Copiers,51.69,6,0.09,118.29,South,Microsoft,Tampa
CA-2020-00150,2020-04-19 13:18:52.766383192,First Class,CUST-0150,Customer 150,Corporate,Florida,Furniture,Bookcases,155.69,1,0.28,24.54,South,Dell,Orlando
CA-2020-00151,2020-04-20 06:50:36.318159080,Standard Class,CUST-0151,Customer 151,Home Office,California,Furniture,Chairs,432.24,7,0.34,44.68,West,Lenovo,San Francisco
CA-2020-00152,2020-04-21 00:22:19.869934968,Same Day,CUST-0152,Customer 152,Corporate,California,Technology,Phones,303.08,1,0.48,43.16,West,Samsung,San Diego
CA-2020-00153,2020-04-21 17:54:03.421710856,Standard Class,CUST-0153,Customer 153,Corporate,Illinois,Technology,Phones,185.46,3,0.0,89.3,Central,Microsoft,Chicago
CA-2020-00154,2020-04-22 11:25:46.973486744,Second Class,CUST-0154,Customer 154,Consumer,New York,Technology,Phones,181.1,7,0.22,-94.15,East,Dell,New York City
